Wall time,Step,Value
1673929683.1129334,0,11.25
1673929750.4060147,1,10.0
1673929817.6402562,2,16.25
1673929885.7927666,3,17.5
1673929953.4210563,4,23.75
1673930021.4965854,5,11.25
1673930090.513543,6,21.25
1673930158.7919796,7,15.0
1673930227.736173,8,17.5
1673930296.2968595,9,11.25
1673930364.9419081,10,17.5
1673930434.0196586,11,27.5
1673930502.1658504,12,36.25
1673930570.6871312,13,22.5
1673930639.8977275,14,36.25
1673930708.076751,15,40.0
1673930776.4794512,16,31.25
1673930845.7896097,17,31.25
1673930914.3375728,18,48.75
1673930982.8662994,19,33.75
1673931052.2975178,20,43.75
1673931121.115152,21,53.75
1673931189.8281858,22,42.5
1673931259.2312205,23,52.5
1673931327.9603589,24,53.75
1673931396.5026217,25,51.25
1673931465.9433992,26,72.5
1673931534.7282925,27,70.0
1673931603.1659482,28,67.5
1673931672.4175036,29,71.25
1673931740.354612,30,63.75
1673931808.6410003,31,70.0
1673931877.7129846,32,63.75
1673931945.8001127,33,76.25
1673932014.065641,34,78.75
1673932082.9400492,35,75.0
1673932151.054891,36,81.25
1673932218.9880004,37,70.0
1673932287.5938413,38,81.25
1673932355.223574,39,78.75
1673932423.0618231,40,85.0
1673932491.712939,41,85.0
1673932559.5958173,42,76.25
1673932627.212474,43,72.5
1673932695.585632,44,78.75
1673932763.3124657,45,83.75
1673932830.8301072,46,81.25
1673932898.7489154,47,85.0
1673932965.8747842,48,86.25
1673933032.8768315,49,85.0
1673933101.0537748,50,86.25
1673933167.8769314,51,83.75
1673933234.8194506,52,82.5
1673933302.4240825,53,86.25
1673933369.1088626,54,83.75
1673933436.196859,55,90.0
1673933503.275196,56,90.0
1673933569.738163,57,81.25
1673933636.9665747,58,91.25
1673933703.5883777,59,87.5
1673933770.455964,60,87.5
1673933837.9263089,61,86.25
1673933904.914494,62,91.25
1673933971.7963989,63,86.25
1673934039.4512992,64,81.25
1673934106.3537416,65,87.5
1673934173.1737137,66,82.5
1673934240.7005436,67,85.0
1673934307.6086247,68,77.5
1673934374.4531868,69,83.75
1673934441.9749622,70,85.0
1673934508.5774267,71,87.5
1673934575.3422282,72,85.0
1673934643.0323231,73,85.0
1673934709.6407754,74,83.75
1673934776.1489916,75,90.0
1673934843.393214,76,85.0
1673934909.995719,77,91.25
1673934976.681769,78,86.25
1673935044.1170857,79,90.0
1673935110.620754,80,87.5
1673935177.1540267,81,96.25
1673935244.7102885,82,91.25
1673935311.4610753,83,95.0
1673935378.1714854,84,91.25
1673935445.8738494,85,93.75
1673935512.6382835,86,93.75
1673935579.1140072,87,97.5
1673935646.5635004,88,95.0
1673935713.3259861,89,95.0
1673935779.9488952,90,97.5
1673935847.7836883,91,98.75
1673935914.6228306,92,97.5
1673935981.570317,93,96.25
1673936049.1372557,94,97.5
1673936115.736791,95,97.5
1673936182.4226434,96,96.25
1673936249.143733,97,92.5
1673936316.3395565,98,97.5
1673936382.8361456,99,97.5
1673936449.2567859,100,97.5
1673936516.3770552,101,96.25
1673936582.5665355,102,98.75
1673936648.812174,103,97.5
1673936715.8166118,104,97.5
1673936782.302696,105,97.5
1673936848.7998576,106,96.25
1673936915.9450603,107,96.25
1673936982.494754,108,100.0
1673937049.057686,109,98.75
1673937116.3626812,110,97.5
1673937182.9959526,111,98.75
1673937249.7772548,112,97.5
1673937317.2834682,113,95.0
1673937383.8502629,114,97.5
1673937450.5979292,115,97.5
1673937518.1425838,116,95.0
1673937585.0219724,117,100.0
1673937651.769734,118,100.0
1673937719.3426905,119,97.5
1673937785.922288,120,96.25
1673937852.6804023,121,100.0
1673937920.0877862,122,100.0
1673937986.7875435,123,100.0
1673938053.7348576,124,98.75
1673938120.5700908,125,98.75
1673938188.4003768,126,100.0
1673938255.6965876,127,100.0
1673938323.2830048,128,100.0
1673938390.9524324,129,98.75
1673938457.774522,130,96.25
1673938525.20252,131,100.0
1673938592.2807155,132,100.0
1673938658.723552,133,100.0
1673938725.994195,134,98.75
1673938793.1430779,135,100.0
1673938859.932807,136,97.5
1673938927.4163363,137,100.0
1673938994.5914457,138,100.0
1673939061.252544,139,98.75
1673939128.7095923,140,100.0
1673939196.025035,141,100.0
1673939262.3515565,142,98.75
1673939328.6894574,143,98.75
1673939396.5960753,144,100.0
1673939463.6868668,145,100.0
1673939529.7553258,146,100.0
1673939596.4769802,147,98.75
1673939663.5540688,148,98.75
1673939729.718921,149,98.75
1673939796.3944788,150,98.75
1673939863.1499574,151,98.75
1673939929.201368,152,98.75
1673939995.6720908,153,96.25
1673940062.284554,154,97.5
1673940128.321285,155,100.0
1673940195.2901065,156,100.0
1673940262.2106552,157,100.0
1673940328.435748,158,97.5
1673940395.3262663,159,97.5
