Wall time,Step,Value
1673859717.2966318,1,46.25
1673859809.4811995,2,47.5
1673859901.867824,3,45.0
1673859994.8203406,4,63.75
1673860086.6775675,5,65.0
1673860178.869078,6,62.5
1673860270.7427058,7,76.25
1673860367.9714575,8,72.5
1673860462.1257763,9,58.75
1673860554.583057,10,63.75
1673860647.3440464,11,68.75
1673860740.3220384,12,70.0
1673860832.3630476,13,72.5
1673860925.0044353,14,80.0
1673861017.8463063,15,83.75
1673861110.360966,16,80.0
1673861202.645146,17,81.25
1673861296.1321967,18,90.0
1673861388.7753146,19,85.0
1673861481.2769141,20,78.75
1673861573.5148475,21,86.25
1673861665.8233101,22,90.0
1673861757.3293533,23,86.25
1673861848.5878828,24,91.25
1673861939.8601441,25,83.75
1673862031.9453003,26,80.0
1673862124.6900826,27,81.25
1673862216.618529,28,82.5
1673862308.8885577,29,88.75
1673862400.8687294,30,91.25
1673862491.9735682,31,82.5
1673862582.9380774,32,92.5
1673862673.688222,33,83.75
1673862766.281622,34,86.25
1673862856.4811227,35,85.0
1673862947.9874153,36,92.5
1673863039.7930365,37,91.25
1673863131.8267636,38,91.25
1673863223.67532,39,91.25
1673863315.790361,40,90.0
1673863407.4187293,41,83.75
1673863500.6480966,42,90.0
1673863593.741415,43,91.25
1673863685.45209,44,91.25
1673863775.7228484,45,92.5
1673863866.832904,46,85.0
1673863959.0247478,47,87.5
1673864052.8013356,48,92.5
1673864144.5289001,49,90.0
1673864236.865973,50,90.0
1673864328.547508,51,93.75
1673864420.522269,52,92.5
1673864512.50293,53,91.25
1673864604.5019758,54,88.75
1673864696.0304868,55,93.75
1673864787.599408,56,91.25
1673864878.5666263,57,93.75
1673864970.9729574,58,93.75
1673865062.8730137,59,87.5
1673865155.4750698,60,87.5
1673865247.5705736,61,95.0
1673865339.679877,62,87.5
1673865431.9311042,63,95.0
1673865523.2119594,64,95.0
1673865614.5437543,65,90.0
1673865705.6952932,66,96.25
1673865796.7886958,67,91.25
1673865888.2258716,68,91.25
1673865979.746664,69,92.5
1673866070.8130531,70,93.75
1673866162.060786,71,90.0
1673866253.0819347,72,95.0
1673866344.499336,73,95.0
1673866436.0264518,74,93.75
1673866528.2360084,75,95.0
1673866619.7447338,76,92.5
1673866710.9868875,77,92.5
1673866802.1821375,78,93.75
1673866893.3678012,79,95.0
1673866984.608005,80,100.0
1673867075.872622,81,97.5
1673867167.1855578,82,98.75
1673867258.2561235,83,96.25
1673867350.4053788,84,96.25
1673867441.4105306,85,97.5
1673867535.3338044,86,98.75
1673867627.9399586,87,98.75
1673867723.4030302,88,98.75
1673867816.7576466,89,98.75
1673867909.8921733,90,97.5
1673868003.9912474,91,100.0
1673868097.2253695,92,100.0
1673868189.571269,93,100.0
1673868282.9193602,94,98.75
1673868375.8709612,95,97.5
1673868468.10519,96,97.5
1673868560.3646421,97,100.0
1673868654.1910267,98,100.0
1673868745.9375122,99,100.0
1673868839.2993615,100,100.0
1673868929.8572488,101,97.5
1673869020.811167,102,100.0
1673869111.5933867,103,100.0
1673869202.5667076,104,100.0
1673869295.0338666,105,100.0
1673869389.4350147,106,100.0
1673869489.3325696,107,100.0
1673869627.12297,108,97.5
1673869801.677893,109,100.0
1673869992.813696,110,100.0
1673870173.924608,111,98.75
1673870316.5136468,112,100.0
1673870410.7559168,113,100.0
1673870503.9592783,114,98.75
1673870596.7316477,115,100.0
1673870690.436239,116,100.0
1673870781.4196374,117,98.75
1673870872.8766177,118,98.75
1673870964.9095001,119,100.0
1673871056.7406423,120,100.0
1673871148.7297482,121,100.0
1673871240.1704888,122,100.0
1673871331.6219056,123,98.75
1673871423.035447,124,100.0
1673871515.0808494,125,97.5
1673871607.2670727,126,100.0
1673871699.7091942,127,100.0
1673871792.1156766,128,100.0
1673871883.9218264,129,100.0
1673871976.64124,130,100.0
1673872068.9089198,131,100.0
1673872162.833239,132,100.0
1673872255.2494733,133,100.0
1673872347.8170366,134,100.0
1673872438.4363842,135,98.75
1673872529.1076436,136,97.5
1673872619.4877381,137,100.0
1673872709.5669727,138,100.0
1673872801.1817183,139,100.0
1673872893.0458083,140,100.0
1673872984.6288462,141,100.0
1673873076.6227915,142,100.0
1673873168.0637033,143,100.0
1673873259.7606387,144,100.0
1673873351.3243268,145,100.0
1673873443.332025,146,100.0
1673873534.890084,147,100.0
1673873626.4226913,148,100.0
1673873718.303538,149,100.0
1673873810.0263155,150,100.0
1673873901.5615,151,100.0
1673873992.9359522,152,100.0
1673874084.6891038,153,100.0
1673874176.161685,154,100.0
1673874269.5186799,155,100.0
1673874361.424295,156,97.5
1673874453.6707149,157,100.0
1673874545.514699,158,98.75
1673874636.913069,159,100.0
1673874728.1090026,160,100.0
